[136/325] OCR: 051 linhas, confiança 0.860
[137/325] OCR: 059 linhas, confiança 0.792
[138/325] OCR: 033 linhas, confiança 0.788
[139/325] OCR: 049 linhas, confiança 0.822
[140/325] OCR: 043 linhas, confiança 0.755
[141/325] OCR: 058 linhas, confiança 0.822
[142/325] OCR: 041 linhas, confiança 0.857
[143/325] OCR: 057 linhas, confiança 0.834
[144/325] OCR: 039 linhas, confiança 0.885
[145/325] OCR: 061 linhas, confiança 0.825
[146/325] OCR: 046 linhas, confiança 0.820
[147/325] OCR: 036 linhas, confiança 0.879
[148/325] OCR: 010 linhas, confiança 0.905
[149/325] OCR: 058 linhas, confiança 0.834
[150/325] OCR: 068 linhas, confiança 0.817
[151/325] OCR: 028 linhas, confiança 0.911
[152/325] OCR: 054 linhas, confiança 0.833
[153/325] OCR: 060 linhas, confiança 0.832
[154/325] OCR: 065 linhas, confiança 0.846
[155/325] OCR: 016 linhas, confiança 0.910
[156/325] OCR: 045 linhas, confiança 0.732
[157/325] OCR: 084 linhas, confiança 0.821
[158/325] OCR: 041 linhas, confiança 0.838
[159/325] OCR: 073 linhas, confiança 0.848
[160/325] OCR: 029 linhas, confiança 0.842
[161/325] OCR: 087 linhas, confiança 0.814
[162/325] OCR: 040 linhas, confiança 0.835
[163/325] OCR: 045 linhas, confiança 0.882
[164/325] OCR: 036 linhas, confiança 0.806
[165/325] OCR: 033 linhas, confiança 0.862
[166/325] OCR: 044 linhas, confiança 0.877
[167/325] OCR: 013 linhas, confiança 0.905
[168/325] OCR: 038 linhas, confiança 0.769
[169/325] OCR: 060 linhas, confiança 0.845
[170/325] OCR: 070 linhas, confiança 0.858
[171/325] OCR: 030 linhas, confiança 0.903
[172/325] OCR: 011 linhas, confiança 0.890
[173/325] OCR: 057 linhas, confiança 0.826
[174/325] OCR: 051 linhas, confiança 0.835
[175/325] OCR: 091 linhas, confiança 0.826
[176/325] OCR: 050 linhas, confiança 0.854
[177/325] OCR: 060 linhas, confiança 0.807
[178/325] OCR: 044 linhas, confiança 0.865
[179/325] OCR: 046 linhas, confiança 0.873
[180/325] OCR: 045 linhas, confiança 0.808
[181/325] OCR: 048 linhas, confiança 0.857
[182/325] OCR: 022 linhas, confiança 0.840
[183/325] OCR: 033 linhas, confiança 0.788
[184/325] OCR: 045 linhas, confiança 0.776
[185/325] OCR: 018 linhas, confiança 0.749
[186/325] OCR: 053 linhas, confiança 0.809
[187/325] OCR: 048 linhas, confiança 0.876
[188/325] OCR: 040 linhas, confiança 0.879
[189/325] OCR: 058 linhas, confiança 0.808
[190/325] OCR: 049 linhas, confiança 0.835
[191/325] OCR: 041 linhas, confiança 0.888
[192/325] OCR: 012 linhas, confiança 0.905
[193/325] OCR: 071 linhas, confiança 0.811
[194/325] OCR: 045 linhas, confiança 0.885
[195/325] OCR: 035 linhas, confiança 0.902
[196/325] OCR: 061 linhas, confiança 0.825
[197/325] OCR: 055 linhas, confiança 0.822
[198/325] OCR: 059 linhas, confiança 0.830
[199/325] OCR: 029 linhas, confiança 0.906
[200/325] OCR: 047 linhas, confiança 0.814
[201/325] OCR: 067 linhas, confiança 0.827
[202/325] OCR: 033 linhas, confiança 0.891
[203/325] OCR: 035 linhas, confiança 0.897
[204/325] OCR: 047 linhas, confiança 0.837
[205/325] OCR: 075 linhas, confiança 0.814
[206/325] OCR: 052 linhas, confiança 0.859
[207/325] OCR: 031 linhas, confiança 0.901
[208/325] OCR: 060 linhas, confiança 0.826
[209/325] OCR: 032 linhas, confiança 0.896
[210/325] OCR: 038 linhas, confiança 0.887
[211/325] OCR: 032 linhas, confiança 0.797
[212/325] OCR: 037 linhas, confiança 0.879
[213/325] OCR: 064 linhas, confiança 0.825
[214/325] OCR: 051 linhas, confiança 0.846
